copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
35,__myl_Add_myl75_8,0,/model/block2.2/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block2.2/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block2.2/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block2.2/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x512x44x44
36,__myl_FcAdd_myl75_5,0,/model/block2.2/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5702 + ONNXTRT_Broadcast_801.../model/block2.3/attn/Transpose_1 + /model/block2.3/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl79_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5702 + ONNXTRT_Broadcast_801.../model/block2.3/attn/Transpose_1 + /model/block2.3/attn/Reshape_1]},Float,1x1936x128
37,__myl_AddSqrtDivMulMulAddTranReshCast_myl79_3,1,/model/block2.3/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5703 + ONNXTRT_Broadcast_813.../model/block2.3/mlp/dwconv/Transpose + /model/block2.3/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block2.3/attn/q/MatMul_myl84_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5703 + ONNXTRT_Broadcast_813.../model/block2.3/mlp/dwconv/Transpose + /model/block2.3/mlp/dwconv/Reshape]},Half,1x1936x128
38,/model/block2.3/attn/sr/Conv,0,/model/block2.3/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5703 + ONNXTRT_Broadcast_813.../model/block2.3/mlp/dwconv/Transpose + /model/block2.3/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl84_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5703 + ONNXTRT_Broadcast_813.../model/block2.3/mlp/dwconv/Transpose + /model/block2.3/mlp/dwconv/Reshape]},Half,1x128x11x11
39,__myl_CastAddMeanSubMulMeanCast_myl79_2,0,/model/block2.2/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5703 + ONNXTRT_Broadcast_813.../model/block2.3/mlp/dwconv/Transpose + /model/block2.3/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl84_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5703 + ONNXTRT_Broadcast_813.../model/block2.3/mlp/dwconv/Transpose + /model/block2.3/mlp/dwconv/Reshape]},Half,1x1936x128
40,__myl_Add_myl84_8,0,/model/block2.3/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block2.3/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block2.3/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block2.3/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x512x44x44
41,__myl_FcAdd_myl84_5,0,/model/block2.3/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5736 + ONNXTRT_Broadcast_897.../model/Reshape_1 + /model/Transpose_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMean_myl88_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5736 + ONNXTRT_Broadcast_897.../model/Reshape_1 + /model/Transpose_1]},Float,1x1936x128
42,__myl_AddSqrtDivMulMulAddTranReshCast_myl90_1,1,/model/block3.0/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5742 + ONNXTRT_Broadcast_961.../model/block3.0/mlp/dwconv/Transpose + /model/block3.0/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.0/attn/q/MatMul_myl95_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5742 + ONNXTRT_Broadcast_961.../model/block3.0/mlp/dwconv/Transpose + /model/block3.0/mlp/dwconv/Reshape]},Half,1x484x320
43,/model/block3.0/attn/sr/Conv,0,/model/block3.0/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5742 + ONNXTRT_Broadcast_961.../model/block3.0/mlp/dwconv/Transpose + /model/block3.0/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl95_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5742 + ONNXTRT_Broadcast_961.../model/block3.0/mlp/dwconv/Transpose + /model/block3.0/mlp/dwconv/Reshape]},Half,1x320x11x11
44,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAddMeanSubMulMeanCast_myl90_0,2,/model/patch_embed3/norm/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5742 + ONNXTRT_Broadcast_961.../model/block3.0/mlp/dwconv/Transpose + /model/block3.0/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl95_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5742 + ONNXTRT_Broadcast_961.../model/block3.0/mlp/dwconv/Transpose + /model/block3.0/mlp/dwconv/Reshape]},Half,1x484x320
45,__myl_Add_myl95_8,0,/model/block3.0/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.0/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.0/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.0/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
46,__myl_FcAdd_myl95_5,0,/model/block3.0/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5775 + ONNXTRT_Broadcast_1045.../model/block3.1/attn/Transpose_1 + /model/block3.1/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl99_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5775 + ONNXTRT_Broadcast_1045.../model/block3.1/attn/Transpose_1 + /model/block3.1/attn/Reshape_1]},Float,1x484x320
47,__myl_AddSqrtDivMulMulAddTranReshCast_myl99_3,1,/model/block3.1/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5776 + ONNXTRT_Broadcast_1057.../model/block3.1/mlp/dwconv/Transpose + /model/block3.1/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.1/attn/q/MatMul_myl104_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5776 + ONNXTRT_Broadcast_1057.../model/block3.1/mlp/dwconv/Transpose + /model/block3.1/mlp/dwconv/Reshape]},Half,1x484x320
48,/model/block3.1/attn/sr/Conv,0,/model/block3.1/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5776 + ONNXTRT_Broadcast_1057.../model/block3.1/mlp/dwconv/Transpose + /model/block3.1/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl104_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5776 + ONNXTRT_Broadcast_1057.../model/block3.1/mlp/dwconv/Transpose + /model/block3.1/mlp/dwconv/Reshape]},Half,1x320x11x11
49,__myl_CastAddMeanSubMulMeanCast_myl99_2,0,/model/block3.0/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5776 + ONNXTRT_Broadcast_1057.../model/block3.1/mlp/dwconv/Transpose + /model/block3.1/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl104_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5776 + ONNXTRT_Broadcast_1057.../model/block3.1/mlp/dwconv/Transpose + /model/block3.1/mlp/dwconv/Reshape]},Half,1x484x320
50,__myl_Add_myl104_8,0,/model/block3.1/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.1/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.1/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.1/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
51,__myl_FcAdd_myl104_5,0,/model/block3.1/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5809 + ONNXTRT_Broadcast_1141.../model/block3.2/attn/Transpose_1 + /model/block3.2/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl108_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5809 + ONNXTRT_Broadcast_1141.../model/block3.2/attn/Transpose_1 + /model/block3.2/attn/Reshape_1]},Float,1x484x320
52,__myl_AddSqrtDivMulMulAddTranReshCast_myl108_3,1,/model/block3.2/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5810 + ONNXTRT_Broadcast_1153.../model/block3.2/mlp/dwconv/Transpose + /model/block3.2/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.2/attn/q/MatMul_myl113_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5810 + ONNXTRT_Broadcast_1153.../model/block3.2/mlp/dwconv/Transpose + /model/block3.2/mlp/dwconv/Reshape]},Half,1x484x320
53,/model/block3.2/attn/sr/Conv,0,/model/block3.2/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5810 + ONNXTRT_Broadcast_1153.../model/block3.2/mlp/dwconv/Transpose + /model/block3.2/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl113_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5810 + ONNXTRT_Broadcast_1153.../model/block3.2/mlp/dwconv/Transpose + /model/block3.2/mlp/dwconv/Reshape]},Half,1x320x11x11
54,__myl_CastAddMeanSubMulMeanCast_myl108_2,0,/model/block3.1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5810 + ONNXTRT_Broadcast_1153.../model/block3.2/mlp/dwconv/Transpose + /model/block3.2/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl113_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5810 + ONNXTRT_Broadcast_1153.../model/block3.2/mlp/dwconv/Transpose + /model/block3.2/mlp/dwconv/Reshape]},Half,1x484x320
55,__myl_Add_myl113_8,0,/model/block3.2/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.2/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.2/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.2/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
56,__myl_FcAdd_myl113_5,0,/model/block3.2/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5843 + ONNXTRT_Broadcast_1237.../model/block3.3/attn/Transpose_1 + /model/block3.3/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl117_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5843 + ONNXTRT_Broadcast_1237.../model/block3.3/attn/Transpose_1 + /model/block3.3/attn/Reshape_1]},Float,1x484x320
57,__myl_AddSqrtDivMulMulAddTranReshCast_myl117_3,1,/model/block3.3/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5844 + ONNXTRT_Broadcast_1249.../model/block3.3/mlp/dwconv/Transpose + /model/block3.3/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.3/attn/q/MatMul_myl122_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5844 + ONNXTRT_Broadcast_1249.../model/block3.3/mlp/dwconv/Transpose + /model/block3.3/mlp/dwconv/Reshape]},Half,1x484x320
58,/model/block3.3/attn/sr/Conv,0,/model/block3.3/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5844 + ONNXTRT_Broadcast_1249.../model/block3.3/mlp/dwconv/Transpose + /model/block3.3/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl122_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5844 + ONNXTRT_Broadcast_1249.../model/block3.3/mlp/dwconv/Transpose + /model/block3.3/mlp/dwconv/Reshape]},Half,1x320x11x11
59,__myl_CastAddMeanSubMulMeanCast_myl117_2,0,/model/block3.2/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5844 + ONNXTRT_Broadcast_1249.../model/block3.3/mlp/dwconv/Transpose + /model/block3.3/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl122_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5844 + ONNXTRT_Broadcast_1249.../model/block3.3/mlp/dwconv/Transpose + /model/block3.3/mlp/dwconv/Reshape]},Half,1x484x320
60,__myl_Add_myl122_8,0,/model/block3.3/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.3/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.3/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.3/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
61,__myl_FcAdd_myl122_5,0,/model/block3.3/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5877 + ONNXTRT_Broadcast_1333.../model/block3.4/attn/Transpose_1 + /model/block3.4/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl126_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5877 + ONNXTRT_Broadcast_1333.../model/block3.4/attn/Transpose_1 + /model/block3.4/attn/Reshape_1]},Float,1x484x320
62,__myl_AddSqrtDivMulMulAddTranReshCast_myl126_3,1,/model/block3.4/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5878 + ONNXTRT_Broadcast_1345.../model/block3.4/mlp/dwconv/Transpose + /model/block3.4/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.4/attn/q/MatMul_myl131_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5878 + ONNXTRT_Broadcast_1345.../model/block3.4/mlp/dwconv/Transpose + /model/block3.4/mlp/dwconv/Reshape]},Half,1x484x320
63,/model/block3.4/attn/sr/Conv,0,/model/block3.4/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5878 + ONNXTRT_Broadcast_1345.../model/block3.4/mlp/dwconv/Transpose + /model/block3.4/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl131_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5878 + ONNXTRT_Broadcast_1345.../model/block3.4/mlp/dwconv/Transpose + /model/block3.4/mlp/dwconv/Reshape]},Half,1x320x11x11
64,__myl_CastAddMeanSubMulMeanCast_myl126_2,0,/model/block3.3/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5878 + ONNXTRT_Broadcast_1345.../model/block3.4/mlp/dwconv/Transpose + /model/block3.4/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl131_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5878 + ONNXTRT_Broadcast_1345.../model/block3.4/mlp/dwconv/Transpose + /model/block3.4/mlp/dwconv/Reshape]},Half,1x484x320
65,__myl_Add_myl131_8,0,/model/block3.4/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.4/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.4/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.4/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
66,__myl_FcAdd_myl131_5,0,/model/block3.4/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5911 + ONNXTRT_Broadcast_1429.../model/block3.5/attn/Transpose_1 + /model/block3.5/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl135_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5911 + ONNXTRT_Broadcast_1429.../model/block3.5/attn/Transpose_1 + /model/block3.5/attn/Reshape_1]},Float,1x484x320
67,__myl_AddSqrtDivMulMulAddTranReshCast_myl135_3,1,/model/block3.5/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5912 + ONNXTRT_Broadcast_1441.../model/block3.5/mlp/dwconv/Transpose + /model/block3.5/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.5/attn/q/MatMul_myl140_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5912 + ONNXTRT_Broadcast_1441.../model/block3.5/mlp/dwconv/Transpose + /model/block3.5/mlp/dwconv/Reshape]},Half,1x484x320
68,/model/block3.5/attn/sr/Conv,0,/model/block3.5/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5912 + ONNXTRT_Broadcast_1441.../model/block3.5/mlp/dwconv/Transpose + /model/block3.5/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl140_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5912 + ONNXTRT_Broadcast_1441.../model/block3.5/mlp/dwconv/Transpose + /model/block3.5/mlp/dwconv/Reshape]},Half,1x320x11x11
69,__myl_CastAddMeanSubMulMeanCast_myl135_2,0,/model/block3.4/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5912 + ONNXTRT_Broadcast_1441.../model/block3.5/mlp/dwconv/Transpose + /model/block3.5/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl140_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5912 + ONNXTRT_Broadcast_1441.../model/block3.5/mlp/dwconv/Transpose + /model/block3.5/mlp/dwconv/Reshape]},Half,1x484x320
70,__myl_Add_myl140_8,0,/model/block3.5/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.5/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.5/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.5/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
71,__myl_FcAdd_myl140_5,0,/model/block3.5/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5945 + ONNXTRT_Broadcast_1525.../model/block3.6/attn/Transpose_1 + /model/block3.6/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl144_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5945 + ONNXTRT_Broadcast_1525.../model/block3.6/attn/Transpose_1 + /model/block3.6/attn/Reshape_1]},Float,1x484x320
72,__myl_AddSqrtDivMulMulAddTranReshCast_myl144_3,1,/model/block3.6/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5946 + ONNXTRT_Broadcast_1537.../model/block3.6/mlp/dwconv/Transpose + /model/block3.6/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.6/attn/q/MatMul_myl149_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5946 + ONNXTRT_Broadcast_1537.../model/block3.6/mlp/dwconv/Transpose + /model/block3.6/mlp/dwconv/Reshape]},Half,1x484x320
73,/model/block3.6/attn/sr/Conv,0,/model/block3.6/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5946 + ONNXTRT_Broadcast_1537.../model/block3.6/mlp/dwconv/Transpose + /model/block3.6/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl149_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5946 + ONNXTRT_Broadcast_1537.../model/block3.6/mlp/dwconv/Transpose + /model/block3.6/mlp/dwconv/Reshape]},Half,1x320x11x11
74,__myl_CastAddMeanSubMulMeanCast_myl144_2,0,/model/block3.5/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5946 + ONNXTRT_Broadcast_1537.../model/block3.6/mlp/dwconv/Transpose + /model/block3.6/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl149_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5946 + ONNXTRT_Broadcast_1537.../model/block3.6/mlp/dwconv/Transpose + /model/block3.6/mlp/dwconv/Reshape]},Half,1x484x320
75,__myl_Add_myl149_8,0,/model/block3.6/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.6/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.6/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.6/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
76,__myl_FcAdd_myl149_5,0,/model/block3.6/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5979 + ONNXTRT_Broadcast_1621.../model/block3.7/attn/Transpose_1 + /model/block3.7/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl153_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5979 + ONNXTRT_Broadcast_1621.../model/block3.7/attn/Transpose_1 + /model/block3.7/attn/Reshape_1]},Float,1x484x320
77,__myl_AddSqrtDivMulMulAddTranReshCast_myl153_3,1,/model/block3.7/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5980 + ONNXTRT_Broadcast_1633.../model/block3.7/mlp/dwconv/Transpose + /model/block3.7/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.7/attn/q/MatMul_myl158_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5980 + ONNXTRT_Broadcast_1633.../model/block3.7/mlp/dwconv/Transpose + /model/block3.7/mlp/dwconv/Reshape]},Half,1x484x320
78,/model/block3.7/attn/sr/Conv,0,/model/block3.7/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5980 + ONNXTRT_Broadcast_1633.../model/block3.7/mlp/dwconv/Transpose + /model/block3.7/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl158_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5980 + ONNXTRT_Broadcast_1633.../model/block3.7/mlp/dwconv/Transpose + /model/block3.7/mlp/dwconv/Reshape]},Half,1x320x11x11
79,__myl_CastAddMeanSubMulMeanCast_myl153_2,0,/model/block3.6/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5980 + ONNXTRT_Broadcast_1633.../model/block3.7/mlp/dwconv/Transpose + /model/block3.7/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl158_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5980 + ONNXTRT_Broadcast_1633.../model/block3.7/mlp/dwconv/Transpose + /model/block3.7/mlp/dwconv/Reshape]},Half,1x484x320
80,__myl_Add_myl158_8,0,/model/block3.7/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.7/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.7/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.7/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
81,__myl_FcAdd_myl158_5,0,/model/block3.7/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6013 + ONNXTRT_Broadcast_1717.../model/block3.8/attn/Transpose_1 + /model/block3.8/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl162_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6013 + ONNXTRT_Broadcast_1717.../model/block3.8/attn/Transpose_1 + /model/block3.8/attn/Reshape_1]},Float,1x484x320
