copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
129,__myl_CastAddMeanSubMulMeanCast_myl245_2,0,/model/block3.16/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl250_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Half,1x484x320
130,__myl_Add_myl250_8,0,/model/block3.17/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.17/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.17/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.17/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
131,__myl_FcAdd_myl250_5,0,/model/block3.17/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMean_myl254_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Float,1x484x320
132,__myl_AddSqrtDivMulMulAddReshTran_myl254_3,0,Reformatted Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,/model/patch_embed4/proj/Conv,0,/model/Transpose_2_output_0,Thirty-two wide channel vectorized row major Int8 format,1x320x22x22
132,__myl_AddSqrtDivMulMulAddReshTran_myl254_3,0,Reformatted Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,"/model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu))",0,/model/Transpose_2_output_0,Thirty-two wide channel vectorized row major Int8 format,1x320x22x22
132,__myl_AddSqrtDivMulMulAddReshTran_myl254_3,0,Reformatted Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/Add),0,/model/Transpose_2_output_0,Thirty-two wide channel vectorized row major Int8 format,1x320x22x22
132,__myl_AddSqrtDivMulMulAddReshTran_myl254_3,0,Reformatted Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,/model/decoder/FEM3/conv3/Conv + /model/decoder/FEM3/Add_1,1,/model/Transpose_2_output_0,Thirty-two wide channel vectorized row major Int8 format,1x320x22x22
133,/model/patch_embed4/proj/Conv,0,/model/patch_embed4/proj/Conv_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[/model/patch_embed4/Reshape + /model/patch_embed4/Transpose.../model/block4.0/mlp/dwconv/Transpose + /model/block4.0/mlp/dwconv/Reshape]},Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl258_0,0,Reformatted Input Tensor 0 to {ForeignNode[/model/patch_embed4/Reshape + /model/patch_embed4/Transpose.../model/block4.0/mlp/dwconv/Transpose + /model/block4.0/mlp/dwconv/Reshape]},Half,1x512x11x11
134,"/model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu))",0,/model/decoder/FEM1/prelu/PRelu_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,/model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,0,Reformatted Input Tensor 0 to /model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,Row major linear FP16 format,1x64x88x88
135,/model/decoder/FEM1/Reshape_1,0,/model/decoder/FEM1/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM1/Add),Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM1/Add),0,Reformatted Input Tensor 0 to PWN(/model/decoder/FEM1/Add),Thirty-two wide channel vectorized row major Int8 format,1x64x88x88
136,/model/decoder/FEM1/cbam/ca/avg_pool/GlobalAveragePool,0,/model/decoder/FEM1/cbam/ca/avg_pool/GlobalAveragePool_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/cbam/ca/fc1/Conv + /model/decoder/FEM1/cbam/ca/relu1/Relu,Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM1/cbam/ca/fc1/Conv + /model/decoder/FEM1/cbam/ca/relu1/Relu,0,Reformatted Input Tensor 0 to /model/decoder/FEM1/cbam/ca/fc1/Conv + /model/decoder/FEM1/cbam/ca/relu1/Relu,Channel major FP16 format where channel % 8 == 0,1x64x1x1
137,PWN(/model/decoder/FEM1/Add),0,/model/decoder/FEM1/Add_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/cbam/ca/max_pool/MaxPool,Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM1/cbam/ca/max_pool/MaxPool,0,Reformatted Input Tensor 0 to /model/decoder/FEM1/cbam/ca/max_pool/MaxPool,Channel major FP16 format where channel % 8 == 0,1x64x88x88
138,/model/decoder/FEM1/cbam/ca/fc2_1/Conv + /model/decoder/FEM1/cbam/ca/Add,0,/model/decoder/FEM1/cbam/ca/Add_output_0,Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,"Reformatted Input Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,1x64x1x1
139,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,/model/decoder/FEM1/cbam/sa/ReduceMean,0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,1x64x88x88
139,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,/model/decoder/FEM1/cbam/sa/ReduceMax,0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,1x64x88x88
139,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,1x64x88x88
140,/model/decoder/FEM1/cbam/sa/ReduceMean_output_0 copy,0,/model/decoder/FEM1/cbam/sa/Concat_output_0,Row major linear FP32,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/cbam/sa/conv1/Conv,Row major linear FP32,Four wide channel vectorized row major Int8 format,/model/decoder/FEM1/cbam/sa/conv1/Conv,0,Reformatted Input Tensor 0 to /model/decoder/FEM1/cbam/sa/conv1/Conv,Four wide channel vectorized row major Int8 format,1x2x88x88
140,/model/decoder/FEM1/cbam/sa/ReduceMax_output_0 copy,0,/model/decoder/FEM1/cbam/sa/Concat_output_0,Row major linear FP32,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/cbam/sa/conv1/Conv,Row major linear FP32,Four wide channel vectorized row major Int8 format,/model/decoder/FEM1/cbam/sa/conv1/Conv,0,Reformatted Input Tensor 0 to /model/decoder/FEM1/cbam/sa/conv1/Conv,Four wide channel vectorized row major Int8 format,1x2x88x88
141,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",1,"Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",Thirty-two wide channel vectorized row major Int8 format,1x64x88x88
142,ONNXTRT_Broadcast_3028,0,(Unnamed Layer* 4799) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM1/prelu_1/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM1/prelu_1/PRelu),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM1/prelu_1/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
143,/model/decoder/FEM2/Reshape_1,0,/model/decoder/FEM2/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM2/Add),Row major linear FP16 format,Channel major FP16 format where channel % 16 == 0,PWN(/model/decoder/FEM2/Add),0,Reformatted Input Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,1x128x44x44
144,__myl_AddSqrtDivMulMulAddReshTran_myl90_3,0,/model/Transpose_1_output_0,Half,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 16 == 0,PWN(/model/decoder/FEM2/Add),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,1x128x44x44
145,PWN(/model/decoder/FEM2/Add),0,Reformatted Output Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,Reformatting CopyNode for Output Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM2/cbam/ca/avg_pool/GlobalAveragePool,0,/model/decoder/FEM2/Add_output_0,Channel major FP16 format where channel % 8 == 0,1x128x44x44
145,PWN(/model/decoder/FEM2/Add),0,Reformatted Output Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,Reformatting CopyNode for Output Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM2/cbam/ca/max_pool/MaxPool,0,/model/decoder/FEM2/Add_output_0,Channel major FP16 format where channel % 8 == 0,1x128x44x44
145,PWN(/model/decoder/FEM2/Add),0,Reformatted Output Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,Reformatting CopyNode for Output Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 16 == 0,Channel major FP16 format where channel % 8 == 0,"PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",1,/model/decoder/FEM2/Add_output_0,Channel major FP16 format where channel % 8 == 0,1x128x44x44
146,"PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM2/cbam/sa/ReduceMean,0,/model/decoder/FEM2/cbam/Mul_output_0,Row major linear FP16 format,1x128x44x44
146,"PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM2/cbam/sa/ReduceMax,0,/model/decoder/FEM2/cbam/Mul_output_0,Row major linear FP16 format,1x128x44x44
146,"PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM2/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul_1))",0,/model/decoder/FEM2/cbam/Mul_output_0,Row major linear FP16 format,1x128x44x44
147,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",0,/model/decoder/FEM2/cbam/Mul_output_0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM2/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul_1))",Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM2/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul_1))",1,"Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM2/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul_1))",Thirty-two wide channel vectorized row major Int8 format,1x128x44x44
148,ONNXTRT_Broadcast_3020,0,(Unnamed Layer* 4768) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM2/prelu_1/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM2/prelu_1/PRelu),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM2/prelu_1/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
149,__myl_AddSqrtDivMulMulAddReshTran_myl90_3,0,/model/Transpose_1_output_0,Half,Reformatting CopyNode for Input Tensor 1 to /model/decoder/FEM2/conv3/Conv + /model/decoder/FEM2/Add_1,Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,/model/decoder/FEM2/conv3/Conv + /model/decoder/FEM2/Add_1,1,Reformatted Input Tensor 1 to /model/decoder/FEM2/conv3/Conv + /model/decoder/FEM2/Add_1,Thirty-two wide channel vectorized row major Int8 format,1x128x44x44
150,"/model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu))",0,/model/decoder/FEM3/prelu/PRelu_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,0,Reformatted Input Tensor 0 to /model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,Channel major FP16 format where channel % 8 == 0,1x320x22x22
151,/model/decoder/FEM3/Reshape_1,0,/model/decoder/FEM3/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM3/Add),Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM3/Add),0,Reformatted Input Tensor 0 to PWN(/model/decoder/FEM3/Add),Channel major FP16 format where channel % 8 == 0,1x320x22x22
152,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},0,/model/Transpose_2_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/Add),Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM3/Add),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM3/Add),Channel major FP16 format where channel % 8 == 0,1x320x22x22
153,"PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM3/cbam/sa/ReduceMean,0,/model/decoder/FEM3/cbam/Mul_output_0,Row major linear FP16 format,1x320x22x22
153,"PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM3/cbam/sa/ReduceMax,0,/model/decoder/FEM3/cbam/Mul_output_0,Row major linear FP16 format,1x320x22x22
153,"PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM3/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul_1))",0,/model/decoder/FEM3/cbam/Mul_output_0,Row major linear FP16 format,1x320x22x22
154,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",0,/model/decoder/FEM3/cbam/Mul_output_0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM3/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul_1))",Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM3/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul_1))",1,"Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM3/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul_1))",Thirty-two wide channel vectorized row major Int8 format,1x320x22x22
155,ONNXTRT_Broadcast_3012,0,(Unnamed Layer* 4737) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_1/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM3/prelu_1/PRelu),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_1/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
156,ONNXTRT_Broadcast_3014,0,(Unnamed Layer* 4741) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_2/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM3/prelu_2/PRelu),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_2/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
157,"/model/decoder/FEM4/conv1/Conv + PWN(onnx::PRelu_6439 + ONNXTRT_Broadcast_3000, PWN(/model/decoder/FEM4/prelu/PRelu))",0,/model/decoder/FEM4/prelu/PRelu_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM4/Reshape + /model/decoder/FEM4/Transpose,Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,/model/decoder/FEM4/Reshape + /model/decoder/FEM4/Transpose,0,Reformatted Input Tensor 0 to /model/decoder/FEM4/Reshape + /model/decoder/FEM4/Transpose,Channel major FP16 format where channel % 2 == 0,1x512x11x11
158,/model/decoder/FEM4/Reshape_1,0,/model/decoder/FEM4/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM4/Add),Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM4/Add),0,Reformatted Input Tensor 0 to PWN(/model/decoder/FEM4/Add),Channel major FP16 format where channel % 8 == 0,1x512x11x11
159,"PWN(PWN(/model/decoder/FEM4/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM4/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM4/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM4/cbam/sa/ReduceMean,0,/model/decoder/FEM4/cbam/Mul_output_0,Row major linear FP16 format,1x512x11x11
159,"PWN(PWN(/model/decoder/FEM4/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM4/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM4/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM4/cbam/sa/ReduceMax,0,/model/decoder/FEM4/cbam/Mul_output_0,Row major linear FP16 format,1x512x11x11
