copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
99,__myl_CastAddMeanSubMulMeanCast_myl191_2,0,/model/block3.10/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl196_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Half,1x484x320
100,__myl_Add_myl196_8,0,/model/block3.11/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.11/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.11/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.11/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
101,__myl_FcAdd_myl196_5,0,/model/block3.11/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.11.mlp.fc2.bias + ONNXTRT_Broadcast_2103.../model/block3.12/attn/Transpose_1 + /model/block3.12/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl200_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.11.mlp.fc2.bias + ONNXTRT_Broadcast_2103.../model/block3.12/attn/Transpose_1 + /model/block3.12/attn/Reshape_1]},Float,1x484x320
102,__myl_AddSqrtDivMulMulAddTranReshCast_myl200_3,1,/model/block3.12/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.12/attn/q/MatMul_myl205_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Half,1x484x320
103,/model/block3.12/attn/sr/Conv,0,/model/block3.12/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl205_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Half,1x320x11x11
104,__myl_CastAddMeanSubMulMeanCast_myl200_2,0,/model/block3.11/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl205_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Half,1x484x320
105,__myl_Add_myl205_8,0,/model/block3.12/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.12/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.12/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.12/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
106,__myl_FcAdd_myl205_5,0,/model/block3.12/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.12.mlp.fc2.bias + ONNXTRT_Broadcast_2199.../model/block3.13/attn/Transpose_1 + /model/block3.13/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl209_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.12.mlp.fc2.bias + ONNXTRT_Broadcast_2199.../model/block3.13/attn/Transpose_1 + /model/block3.13/attn/Reshape_1]},Float,1x484x320
107,__myl_AddSqrtDivMulMulAddTranReshCast_myl209_3,1,/model/block3.13/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.13/attn/q/MatMul_myl214_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Half,1x484x320
108,/model/block3.13/attn/sr/Conv,0,/model/block3.13/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl214_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Half,1x320x11x11
