copy_index,upstream_layer,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
142,ONNXTRT_Broadcast_3028 [output 0],(Unnamed Layer* 4799) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM1/prelu_1/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM1/prelu_1/PRelu) [input 1],Reformatted Input Tensor 1 to PWN(/model/decoder/FEM1/prelu_1/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
147,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul)) [output 0]",/model/decoder/FEM2/cbam/Mul_output_0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM2/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul_1))",Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM2/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul_1)) [input 1]","Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM2/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul_1))",Thirty-two wide channel vectorized row major Int8 format,1x128x44x44
148,ONNXTRT_Broadcast_3020 [output 0],(Unnamed Layer* 4768) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM2/prelu_1/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM2/prelu_1/PRelu) [input 1],Reformatted Input Tensor 1 to PWN(/model/decoder/FEM2/prelu_1/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
149,__myl_AddSqrtDivMulMulAddReshTran_myl90_3 [output 0],/model/Transpose_1_output_0,Half,Reformatting CopyNode for Input Tensor 1 to /model/decoder/FEM2/conv3/Conv + /model/decoder/FEM2/Add_1,Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,/model/decoder/FEM2/conv3/Conv + /model/decoder/FEM2/Add_1 [input 1],Reformatted Input Tensor 1 to /model/decoder/FEM2/conv3/Conv + /model/decoder/FEM2/Add_1,Thirty-two wide channel vectorized row major Int8 format,1x128x44x44
150,"/model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu)) [output 0]",/model/decoder/FEM3/prelu/PRelu_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose [input 0],Reformatted Input Tensor 0 to /model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,Channel major FP16 format where channel % 8 == 0,1x320x22x22
152,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]} [output 0],/model/Transpose_2_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/Add),Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM3/Add) [input 1],Reformatted Input Tensor 1 to PWN(/model/decoder/FEM3/Add),Channel major FP16 format where channel % 8 == 0,1x320x22x22
154,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul)) [output 0]",/model/decoder/FEM3/cbam/Mul_output_0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM3/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul_1))",Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM3/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul_1)) [input 1]","Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM3/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul_1))",Thirty-two wide channel vectorized row major Int8 format,1x320x22x22
155,ONNXTRT_Broadcast_3012 [output 0],(Unnamed Layer* 4737) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_1/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM3/prelu_1/PRelu) [input 1],Reformatted Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_1/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
156,ONNXTRT_Broadcast_3014 [output 0],(Unnamed Layer* 4741) [Shuffle]_output,Row major linear FP32,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_2/PRelu),Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM3/prelu_2/PRelu) [input 1],Reformatted Input Tensor 1 to PWN(/model/decoder/FEM3/prelu_2/PRelu),Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
160,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM4/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul)) [output 0]",/model/decoder/FEM4/cbam/Mul_output_0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM4/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul_1))",Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM4/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul_1)) [input 1]","Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM4/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM4/cbam/Mul_1))",Thirty-two wide channel vectorized row major Int8 format,1x512x11x11
161,/model/decoder/FEM4/conv2/Conv [output 0],/model/decoder/FEM4/conv2/Conv_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM4/prelu_1/PRelu),Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM4/prelu_1/PRelu) [input 0],Reformatted Input Tensor 0 to PWN(/model/decoder/FEM4/prelu_1/PRelu),Channel major FP16 format where channel % 8 == 0,1x512x11x11
165,PWN(/model/decoder/FEM4/prelu_2/PRelu) [output 0],/model/decoder/FEM4/prelu_2/PRelu_output_0,Channel major FP16 format where channel % 16 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/d42/Resize,Channel major FP16 format where channel % 16 == 0,Thirty-two wide channel vectorized row major Int8 format,/model/decoder/d42/Resize [input 0],Reformatted Input Tensor 0 to /model/decoder/d42/Resize,Thirty-two wide channel vectorized row major Int8 format,1x512x11x11
166,ONNXTRT_Broadcast_3022 [output 0],(Unnamed Layer* 4772) [Shuffle]_output,Row major linear FP32,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM2/prelu_2/PRelu), PWN(/model/decoder/d42/Add))",Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM2/prelu_2/PRelu), PWN(/model/decoder/d42/Add)) [input 1]","Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM2/prelu_2/PRelu), PWN(/model/decoder/d42/Add))",Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
167,ONNXTRT_Broadcast_3030 [output 0],(Unnamed Layer* 4803) [Shuffle]_output,Row major linear FP32,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(PWN(/model/decoder/FEM1/prelu_2/PRelu), PWN(/model/decoder/d31/Add)), PWN(/model/decoder/d42_31/Add))",Row major linear FP32,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(PWN(/model/decoder/FEM1/prelu_2/PRelu), PWN(/model/decoder/d31/Add)), PWN(/model/decoder/d42_31/Add)) [input 1]","Reformatted Input Tensor 1 to PWN(PWN(PWN(/model/decoder/FEM1/prelu_2/PRelu), PWN(/model/decoder/d31/Add)), PWN(/model/decoder/d42_31/Add))",Thirty-two wide channel vectorized row major Int8 format,1x1x1x1
